declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Major Disaster,Severe Storm(s),REMNANTS OF TROPICAL STORM LEE,4031,2011-09-07,2011-09-11,NY,New York                      
Major Disaster,Severe Storm(s),REMNANTS OF TROPICAL STORM LEE,4039,2011-09-28,2011-10-06,NJ,New Jersey                    
Major Disaster,Hurricane,TROPICAL STORM IRENE,4026,2011-08-26,2011-09-06,NH,New Hampshire                 
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, AND LANDSLIDES",4062,2012-03-03,2012-03-11,HI,Hawaii                        
Fire Management,Fire,KEENE FIRE COMPLEX,2970,2011-09-10,,CA,California                    
Emergency,Severe Storm(s),SEVERE STORM,3343,2011-10-29,2011-10-30,MA,Massachusetts                 
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4063,2012-04-14,2012-04-15,KS,Kansas                        
Major Disaster,Hurricane,HURRICANE IRENE,4036,2011-08-26,2011-09-01,DC,District of Columbia          
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4043,2011-05-20,2011-05-20,VT,Vermont                       
Major Disaster,Hurricane,TROPICAL STORM IRENE,4028,2011-08-27,2011-08-29,MA,Massachusetts                 
Fire Management,Fire,BIG OAK FIRE ,2967,2011-09-08,,TX,Texas                         
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4033,2011-08-13,2011-08-15,NJ,New Jersey                    
Fire Management,Fire,HIGH PARK FIRE,2980,2012-06-09,2012-07-01,CO,Colorado                      
Major Disaster,Hurricane,HURRICANE IRENE,4024,2011-08-26,2011-08-28,VA,Virginia                      
Major Disaster,Severe Storm(s),THE REMNANTS OF TROPICAL STORM LEE,4045,2011-09-08,2011-09-09,VA,Virginia                      
Major Disaster,Flood,FLOODING,4047,2011-08-19,2011-08-24,NM,New Mexico                    
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4064,2012-04-28,2012-05-01,OK,Oklahoma                      
Fire Management,Fire,HOLBROOK FIRE,2969,2011-09-10,2011-09-11,NV,Nevada                        
Major Disaster,Severe Storm(s),SEVERE STORM AND SNOWSTORM,4049,2011-10-29,2011-10-30,NH,New Hampshire                 
Major Disaster,Severe Storm(s),SEVERE STORM AND FLOODING,4065,2012-05-29,2012-05-31,NH,New Hampshire                 
Major Disaster,Severe Storm(s),SEVERE WINTER STORMS AND FLOODING,4050,2011-11-08,2011-11-13,AK,Alaska                        
Major Disaster,Flood,TROPICAL STORM LEE,4030,2011-09-03,2011-10-15,PA,Pennsylvania                  
Major Disaster,Severe Storm(s),SEVERE STORM,4053,2011-11-30,2011-12-01,UT,Utah                          
Fire Management,Fire,HILL FIRE,2955,2011-09-02,2011-09-05,CA,California                    
Fire Management,Fire,RILEY ROAD FIRE,2964,2011-09-05,2011-10-02,TX,Texas                         
Fire Management,Fire,PAT GROSS FIRE ,2968,2011-09-09,,TX,Texas                         
Major Disaster,Flood,REMNANTS OF TROPICAL STORM LEE,4038,2011-09-06,2011-09-09,MD,Maryland                      
Fire Management,Fire,STEINER RANCH FIRE,2960,2011-09-04,2011-09-09,TX,Texas                         
Fire Management,Fire,PEDERNALES BEND FIRE,2959,2011-09-04,2011-09-12,TX,Texas                         
Fire Management,Fire,COMANCHE FIRE COMPLEX,2971,2011-09-10,2011-09-15,CA,California                    
Fire Management,Fire,BEAR CREEK FIRE,2965,2011-09-04,2011-10-24,TX,Texas                         
Major Disaster,Hurricane,HURRICANE IRENE,4034,2011-08-24,2011-09-05,MD,Maryland                      
Major Disaster,Hurricane,TROPICAL STORM IRENE,4027,2011-08-27,2011-08-29,RI,Rhode Island                  
Major Disaster,Hurricane,HURRICANE IRENE,4025,2011-08-26,2011-08-30,PA,Pennsylvania                  
Emergency,Severe Storm(s),REMNANTS OF TROPICAL STORM LEE,3341,2011-09-07,2011-09-11,NY,New York                      
Fire Management,Fire,101 RANCH FIRE,2952,2011-08-30,2011-10-01,TX,Texas                         
Fire Management,Fire,CANYON CREEK FIRE,2950,2011-08-29,2011-09-01,MT,Montana                       
Fire Management,Fire,WESTMINSTER FIRE,2954,2011-08-31,,OK,Oklahoma                      
Major Disaster,Hurricane,TROPICAL STORM IRENE,4023,2011-08-27,2011-09-01,CT,Connecticut                   
Emergency,Hurricane,HURRICANE IRENE,3338,2011-08-26,2011-09-02,VT,Vermont                       
Major Disaster,Hurricane,HURRICANE IRENE,4020,2011-08-26,2011-09-05,NY,New York                      
Major Disaster,Flood,FLOODING,4012,2011-06-01,2011-08-01,MO,Missouri                      
Emergency,Hurricane,HURRICANE IRENE,3329,2011-08-26,2011-09-04,VA,Virginia                      
Emergency,Hurricane,HURRICANE IRENE,3334,2011-08-26,2011-08-29,RI,Rhode Island                  
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4006,2011-05-26,2011-05-30,NH,New Hampshire                 
Emergency,Hurricane,HURRICANE IRENE,3337,2011-08-26,2011-09-01,DC,District of Columbia          
Fire Management,Fire,COFFEE CREEK FIRE ,2945,2011-08-04,2011-08-10,OK,Oklahoma                      
Emergency,Hurricane,HURRICANE IRENE,3326,2011-08-21,2011-08-24,PR,Puerto Rico                   
Fire Management,Fire,TWIN LAKES FIRE COMPLEX,2953,2011-08-31,2011-09-03,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4003,2011-04-25,2011-04-28,PA,Pennsylvania                  
Major Disaster,Hurricane,HURRICANE IRENE,4017,2011-08-21,2011-08-24,PR,Puerto Rico                   
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",4010,2011-05-19,2011-06-04,KS,Kansas                        
Fire Management,Fire,63RD AND SOONER ROAD FIRE,2951,2011-08-30,2011-09-04,OK,Oklahoma                      
Major Disaster,Flood,FLOODING,4011,2011-04-18,2011-07-16,UT,Utah                          
Emergency,Hurricane,HURRICANE IRENE,3328,2011-08-25,2011-09-05,NY,New York                      
Fire Management,Fire,FRANKHOMA 81-FIRE ,2940,2011-07-26,2011-07-29,OK,Oklahoma                      
Fire Management,Fire,HORSESHOE FIRE ,2949,2011-08-15,,TX,Texas                         
Fire Management,Fire,COWBOY CHURCH FIRE ,2929,2011-06-19,2011-06-25,TX,Texas                         
Fire Management,Fire,NOLAN COUNTY FIRE COMPLEX,2937,2011-07-11,2011-07-20,TX,Texas                         
Fire Management,Fire,CLEVELAND-MANNFORD FIRE COMPLEX,2947,2011-08-07,2011-08-13,OK,Oklahoma                      
Emergency,Hurricane,HURRICANE IRENE,3332,2011-08-26,2011-09-05,NJ,New Jersey                    
Major Disaster,Hurricane,HURRICANE IRENE,4019,2011-08-25,2011-09-01,NC,North Carolina                
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",4008,2011-06-19,2011-06-23,KY,Kentucky                      
Major Disaster,Hurricane,HURRICANE IRENE,4021,2011-08-27,2011-09-05,NJ,New Jersey                    
Emergency,Hurricane,HURRICANE IRENE,3335,2011-08-26,2011-09-05,MD,Maryland                      
Major Disaster,Flood,FLOODING,4013,2011-05-24,2011-08-01,NE,Nebraska                      
Emergency,Hurricane,HURRICANE IRENE,3336,2011-08-26,2011-08-31,DE,Delaware                      
Fire Management,Fire,FALLS CREEK FIRE,2939,2011-07-15,2011-07-20,OK,Oklahoma                      
Emergency,Flood,FLOODING,3323,2011-06-17,2011-08-01,NE,Nebraska                      
Fire Management,Fire,REGENCY FIRE,2943,2011-08-02,2011-08-08,OK,Oklahoma                      
Fire Management,Fire,DONALDSON FIRE ,2935,2011-06-28,2011-07-15,NM,New Mexico                    
Emergency,Hurricane,HURRICANE IRENE,3339,2011-08-26,2011-09-14,PA,Pennsylvania                  
Emergency,Hurricane,HURRICANE IRENE,3327,2011-08-25,2011-09-01,NC,North Carolina                
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4018,2011-07-27,2011-07-29,IA,Iowa                          
Fire Management,Fire,EDMOND FIRE,2938,2011-07-15,2011-07-18,OK,Oklahoma                      
Emergency,Hurricane,HURRICANE IRENE,3330,2011-08-26,2011-09-05,MA,Massachusetts                 
Fire Management,Fire,ANDERSON ROAD FIRE ,2942,2011-08-02,2011-08-08,OK,Oklahoma                      
Emergency,Hurricane,HURRICANE IRENE,3331,2011-08-26,2011-09-01,CT,Connecticut                   
Emergency,Flood,FLOODING,3324,2011-06-01,2011-08-01,KS,Kansas                        
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT LINE WINDS, AND FLOODING",4014,2011-06-19,2011-06-21,NE,Nebraska                      
Major Disaster,Hurricane,TROPICAL STORM IRENE,4022,2011-08-27,2011-09-02,VT,Vermont                       
Major Disaster,Flood,FLOODING,4015,2011-04-25,2011-07-07,LA,Louisiana                     
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4016,2011-07-09,2011-07-14,IA,Iowa                          
Fire Management,Fire,MCDONALD 2 FIRE ,2928,2011-06-19,2011-06-30,TX,Texas                         
Emergency,Flood,FLOODING,3325,2011-06-01,2011-08-01,MO,Missouri                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND",4005,2011-06-18,2011-06-24,TN,Tennessee                     
Fire Management,Fire,TURLEY FIRE ,2944,2011-08-02,2011-08-08,OK,Oklahoma                      
Fire Management,Fire,COUNTY LINE FIRE ,2925,2011-06-18,2011-06-20,TX,Texas                         
Fire Management,Fire,LAS CONCHAS FIRE ,2933,2011-06-26,2011-08-25,NM,New Mexico                    
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",4000,2011-05-24,2011-05-26,AR,Arkansas                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, AND LANDSLIDES",4007,2011-05-18,2011-07-08,WY,Wyoming                       
Major Disaster,Flood,FLOODING,1998,2011-05-25,2011-08-01,IA,Iowa                          
Fire Management,Fire,DYER MILL FIRE,2927,2011-06-19,2011-07-06,TX,Texas                         
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4001,2011-05-26,2011-05-27,VT,Vermont                       
Fire Management,Fire,CEDAR LANE FIRE,2948,2011-08-08,2011-08-13,OK,Oklahoma                      
Fire Management,Fire,FOREST BROOK FIRE ,2924,2011-06-17,2011-06-20,TX,Texas                         
Major Disaster,Fire,WILDFIRES,1999,2011-04-06,2011-08-29,TX,Texas                         
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4002,2011-04-04,2011-05-15,OH,Ohio                          
Fire Management,Fire,MUSTANG ROAD FIRE,2941,2011-08-01,2011-08-03,OK,Oklahoma                      
Fire Management,Fire,265TH WEST FIRE ,2946,2011-08-05,2011-08-10,OK,Oklahoma                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND",1997,2011-04-19,2011-06-06,IN,Indiana                       
Fire Management,Fire,LITTLE LEWIS FIRE,2934,2011-06-28,2011-07-13,NM,New Mexico                    
Fire Management,Fire,POWERLINE FIRE ,2926,2011-06-18,2011-06-26,TX,Texas                         
Fire Management,Fire,WHITE HAT FIRE ,2931,2011-06-20,2011-07-01,TX,Texas                         
Fire Management,Fire,MEDICINE PARK FIRE,2932,2011-06-24,2011-06-29,OK,Oklahoma                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADOES",4009,2011-07-01,2011-07-11,MN,Minnesota                     
Fire Management,Fire,BOYKEN ROAD FIRE ,2930,2011-06-20,2011-06-28,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",4004,2011-05-20,2011-06-08,PR,Puerto Rico                   
Fire Management,Fire,SIMMONS ROAD FIRE,2936,2011-07-04,,NC,North Carolina                
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1996,2011-04-04,2011-07-22,MT,Montana                       
Major Disaster,Flood,ICE JAM AND FLOODING,1992,2011-05-08,2011-05-13,AK,Alaska                        
Fire Management,Fire,SNYDER FIRE ,2916,2011-06-03,2011-06-11,TX,Texas                         
Fire Management,Fire,TEJANO CANYON FIRE ,2914,2011-06-02,2011-06-12,TX,Texas                         
Major Disaster,Tornado,SEVERE STORMS AND TORNADOES,1994,2011-06-01,2011-06-01,MA,Massachusetts                 
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1991,2011-04-19,2011-06-14,IL,Illinois                      
Fire Management,Fire,GRAND MESA FIRE,2922,2011-06-16,2011-06-19,TX,Texas                         
Fire Management,Fire,MONUMENT FIRE,2919,2011-06-12,2011-06-26,AZ,Arizona                       
Fire Management,Fire,REIMER FIRE,2911,2011-05-29,2011-05-31,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",1976,2011-04-12,2011-05-20,KY,Kentucky                      
Fire Management,Fire,WAGGONER RANCH FIRE ,2904,2011-04-29,2011-05-01,TX,Texas                         
Fire Management,Fire,SWEAT FARM AGAIN FIRE,2921,2011-06-16,2011-08-08,GA,Georgia                       
Fire Management,Fire,TRACK FIRE ,2918,2011-06-12,2011-07-28,NM,New Mexico                    
Major Disaster,Flood,FLOODING,1983,2011-05-03,2011-06-17,MS,Mississippi                   
Fire Management,Fire,MATT LOOP FIRE,2908,2011-05-09,2011-05-14,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",1989,2011-05-22,2011-05-25,OK,Oklahoma                      
Fire Management,Fire,PITT ROAD FIRE ,2912,2011-05-29,2011-06-01,TX,Texas                         
Fire Management,Fire,RACEPOND WILDFIRE,2920,2011-06-15,2011-07-27,GA,Georgia                       
Fire Management,Fire,WALLOW FIRE,2917,2011-06-10,2011-07-12,NM,New Mexico                    
Fire Management,Fire,HORSESHOE TWO FIRE,2907,2011-05-08,2011-06-21,AZ,Arizona                       
Major Disaster,Flood,FLOODING,1981,2011-02-14,2011-07-20,ND,North Dakota                  
Fire Management,Fire,BRYSON FIRE COMPLEX,2896,2011-04-15,2011-04-22,TX,Texas                         
Fire Management,Fire,148/2332 FIRE ,2899,2011-04-14,2011-04-17,TX,Texas                         
Fire Management,Fire,MOOSE MOUNTAIN FIRE,2909,2011-05-20,2011-06-02,AK,Alaska                        
Fire Management,Fire,STONE RIDGE FIRE,2913,2011-05-29,2011-06-01,TX,Texas                         
Major Disaster,Flood,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",1993,2011-04-26,2011-05-08,NY,New York                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1995,2011-04-23,2011-05-09,VT,Vermont                       
Fire Management,Fire,DUCKETT FIRE,2923,2011-06-15,2011-06-24,CO,Colorado                      
Major Disaster,Flood,SEVERE STORMS AND FLOODING,1982,2011-03-16,2011-05-25,MN,Minnesota                     
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND SNOWSTORM,1985,2011-01-31,2011-02-05,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1988,2011-04-21,2011-04-28,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE WINTER STORM,1986,2011-04-29,2011-05-01,ND,North Dakota                  
Fire Management,Fire,SLOPE FIRE,2902,2011-04-26,2011-05-31,FL,Florida                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND TORNADOES,1990,2011-05-21,2011-05-22,MN,Minnesota                     
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",1977,2011-04-09,2011-04-10,IA,Iowa                          
Major Disaster,Flood,"FLOODING, LANDSLIDES, AND MUDSLIDES",1987,2011-03-31,2011-04-11,ID,Idaho                         
Fire Management,Fire,WALLOW FIRE,2915,2011-06-01,2011-06-28,AZ,Arizona                       
Fire Management,Fire,HICKMAN FIRE ,2886,2011-04-09,2011-04-20,TX,Texas                         
Fire Management,Fire,THEDFORD FIRE,2900,2011-04-22,,NE,Nebraska                      
Fire Management,Fire,HOHERTZ FIRE,2893,2011-04-09,2011-05-12,TX,Texas                         
Emergency,Flood,FLOODING,3320,2011-04-27,2011-06-17,MS,Mississippi                   
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",1971,2011-04-15,2011-05-31,AL,Alabama                       
Fire Management,Fire,WILDCAT FIRE,2892,2011-04-11,2011-05-04,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",1980,2011-04-19,2011-06-06,MO,Missouri                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING",1973,2011-04-27,2011-04-28,GA,Georgia                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",1969,2011-04-16,2011-04-16,NC,North Carolina                
Fire Management,Fire,ROCKHOUSE FIRE ,2885,2011-04-09,2011-05-15,TX,Texas                         
Major Disaster,Flood,FLOODING,1984,2011-03-11,2011-07-22,SD,South Dakota                  
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND ASSOCIATED FLOODING",1975,2011-04-14,2011-06-03,AR,Arkansas                      
Fire Management,Fire,PLEASANT FARMS FIRE,2901,2011-04-26,2011-05-04,TX,Texas                         
Fire Management,Fire,COOPER MOUNTAIN RANCH FIRE ,2889,2011-04-11,2011-04-23,TX,Texas                         
Fire Management,Fire,WICHITA FIRE COMPLEX,2891,2011-04-15,2011-04-20,TX,Texas                         
Fire Management,Fire,OASIS PIPELINE FIRE ,2903,2011-04-26,2011-05-14,TX,Texas                         
Fire Management,Fire,PINNACLE FIRE ,2898,2011-04-17,2011-04-19,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",1978,2011-04-04,2011-04-04,TN,Tennessee                     
Fire Management,Fire,SISK ROAD FIRE ,2905,2011-04-29,2011-05-01,TX,Texas                         
Fire Management,Fire,TIRE FIRE,2897,2011-04-17,2011-04-21,NM,New Mexico                    
Fire Management,Fire,CLEVELAND FIRE ,2887,2011-04-09,2011-04-12,OK,Oklahoma                      
Emergency,Flood,FLOODING,3321,2011-04-26,2011-06-07,TN,Tennessee                     
Emergency,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",3319,2011-04-27,2011-05-31,AL,Alabama                       
Fire Management,Fire,GOODYEAR PLANT FIRE,2890,2011-04-15,2011-04-19,OK,Oklahoma                      
Fire Management,Fire,CEED FIRE ,2910,2011-05-24,2011-05-31,TX,Texas                         
Emergency,Flood,FLOODING,3322,2011-04-25,2011-07-07,LA,Louisiana                     
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING",1972,2011-04-15,2011-04-28,MS,Mississippi                   
Fire Management,Fire,EAST SIDWYNICKS FIRE ,2894,2011-04-15,2011-04-18,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING",1974,2011-04-25,2011-04-28,TN,Tennessee                     
Fire Management,Fire,PK WEST FIRE ,2888,2011-04-13,2011-05-12,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",1970,2011-04-14,2011-04-14,OK,Oklahoma                      
Fire Management,Fire,GAGE HOLLAND FIRE,2906,2011-05-08,2011-05-19,TX,Texas                         
Fire Management,Fire,PK EAST FIRE,2895,2011-04-16,2011-05-04,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",1979,2011-04-19,2011-06-07,TN,Tennessee                     
Major Disaster,Tsunami,TSUNAMI WAVES,1968,2011-03-11,2011-03-11,CA,California                    
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",1965,2011-02-28,2011-03-01,TN,Tennessee                     
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND EXTREME COLD TEMPERATURES,1962,2011-02-01,2011-02-05,NM,New Mexico                    
Emergency,Flood,FLOODING,3318,2011-04-05,2011-07-01,ND,North Dakota                  
Major Disaster,Tsunami,TSUNAMI WAVES,1967,2011-03-11,2011-03-11,HI,Hawaii                        
Fire Management,Fire,BATES FIELD FIRE,2881,2011-04-03,2011-04-06,TX,Texas                         
Fire Management,Fire,WHITE FIRE ,2880,2011-04-03,2011-04-20,NM,New Mexico                    
Major Disaster,Tsunami,TSUNAMI WAVE SURGE,1964,2011-03-11,2011-03-11,OR,Oregon                        
Fire Management,Fire,ENMIN FIRE,2867,2011-03-11,2011-03-17,TX,Texas                         
Fire Management,Fire,GOLDSBY FIRE,2871,2011-03-12,2011-03-15,OK,Oklahoma                      
Fire Management,Fire,EL CENIZO FIRE,2882,2011-04-04,2011-04-08,TX,Texas                         
Fire Management,Fire,ELAN CHURCH ROAD FIRE,2875,2011-03-25,2011-04-25,GA,Georgia                       
Fire Management,Fire,GUYMON FIRE ,2879,2011-04-03,2011-04-05,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND SNOWSTORM,1961,2011-01-31,2011-02-05,MO,Missouri                      
Fire Management,Fire,OSAGE COUNTY FIRE COMPLEX,2874,2011-03-24,2011-03-27,OK,Oklahoma                      
Fire Management,Fire,CRYSTAL FIRE,2877,2011-04-03,2011-04-11,CO,Colorado                      
Major Disaster,Severe Storm(s),"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",1963,2011-01-11,2011-01-21,WA,Washington                    
Fire Management,Fire,QUAIL RIDGE FIRE,2866,2011-03-07,2011-03-11,NM,New Mexico                    
Major Disaster,Snow,SEVERE WINTER STORM AND SNOWSTORM,1960,2011-01-31,2011-02-03,IL,Illinois                      
Fire Management,Fire,SHAWNEE FIRE,2872,2011-03-12,2011-03-15,OK,Oklahoma                      
Fire Management,Fire,SWENSON FIRE,2884,2011-04-06,2011-04-23,TX,Texas                         
Fire Management,Fire,JONES SPENCER FIRE ,2883,2011-04-06,2011-04-09,OK,Oklahoma                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, ROCKSLIDES, AND MUDSLIDES ASSOC. WITH TS TOMAS",1949,2010-11-08,2010-11-12,VI,Virgin Islands of the U.S.    
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND SNOWSTORM,1957,2010-12-26,2010-12-27,NY,New York                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADOES",1934,2010-06-12,2010-07-31,MO,Missouri                      
Major Disaster,Flood,SEVERE STORMS AND FLOODING,1936,2010-07-25,2010-08-09,NM,New Mexico                    
Major Disaster,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",1943,2010-09-16,2010-09-16,NY,New York                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1953,2010-12-12,2010-12-19,ME,Maine                         
Fire Management,Fire,MITCHELL FIRE COMPLEX,2865,2011-02-27,,TX,Texas                         
Fire Management,Fire,SLIDE CREEK WILDFIRE,2854,2010-08-26,2010-08-31,WA,Washington                    
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1940,2010-07-20,2010-08-07,AZ,Arizona                       
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1950,2010-10-03,2010-10-06,AZ,Arizona                       
Major Disaster,Snow,SEVERE WINTER STORM AND SNOWSTORM,1959,2011-01-11,2011-01-12,MA,Massachusetts                 
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1935,2010-07-19,2010-08-07,IL,Illinois                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1944,2010-09-22,2010-10-09,WI,Wisconsin                     
Emergency,Severe Storm(s),SEVERE WINTER STORM,3316,2011-01-31,2011-02-05,OK,Oklahoma                      
Fire Management,Fire,MATADOR FIRE,2863,2011-02-27,,TX,Texas                         
Emergency,Hurricane,HURRICANE EARL,3314,2010-09-01,2010-09-04,NC,North Carolina                
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1938,2010-07-21,2010-07-30,SD,South Dakota                  
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",1948,2010-10-01,2010-10-08,VI,Virgin Islands of the U.S.    
Fire Management,Fire,SMITH FIRE,2860,2011-02-19,,VA,Virginia                      
Fire Management,Fire,HARRAH FIRE,2868,2011-03-11,2011-03-14,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1937,2010-08-17,2010-08-21,TN,Tennessee                     
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, TORNADO, AND STRAIGHT-LIN",1945,2010-09-13,2010-09-14,NE,Nebraska                      
Fire Management,Fire,WILLOW CREEK SOUTH FIRE COMPLEX,2862,2011-02-27,,TX,Texas                         
Fire Management,Fire,BIG TRICKLE RANCH FIRE,2870,2011-03-11,2011-03-17,TX,Texas                         
Fire Management,Fire,MACHINE GUN FIRE ,2859,2010-09-19,,UT,Utah                          
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1947,2010-09-22,2010-09-23,SD,South Dakota                  
Fire Management,Fire,MOSLEY ROAD FIRE,2876,2011-03-24,,GA,Georgia                       
Major Disaster,Snow,SEVERE WINTER STORM AND SNOWSTORM,1966,2011-01-31,2011-02-03,WI,Wisconsin                     
Major Disaster,Snow,SNOWSTORM,1958,2011-01-11,2011-01-12,CT,Connecticut                   
Fire Management,Fire,TANGLEWOOD FIRE COMPLEX,2864,2011-02-27,,TX,Texas                         
Major Disaster,Hurricane,HURRICANE EARL,1939,2010-08-29,2010-08-31,VI,Virgin Islands of the U.S.    
Major Disaster,Severe Storm(s),"SEVERE WINTER STORM, FLOODING, MUDSLIDES, LANDSLIDES, AND DEBRIS FLOWS",1956,2011-01-13,2011-01-21,OR,Oregon                        
Fire Management,Fire,RESERVOIR ROAD FIRE,2857,2010-09-12,2010-09-17,CO,Colorado                      
Emergency,Severe Storm(s),SEVERE WINTER STORM,3317,2011-01-31,2011-02-05,MO,Missouri                      
Emergency,Hurricane,HURRICANE EARL,3315,2010-09-01,2010-09-04,MA,Massachusetts                 
Major Disaster,Flood,SEVERE WINTER STORM AND FLOODING,1955,2010-12-20,2010-12-24,UT,Utah                          
Fire Management,Fire,GLENVIEW FIRE,2856,2010-09-09,2010-09-11,CA,California                    
Fire Management,Fire,INDIAN GULCH FIRE,2873,2011-03-21,2011-03-26,CO,Colorado                      
Major Disaster,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",1952,2010-12-17,2011-01-04,CA,California                    
Major Disaster,Severe Storm(s),SEVERE STORM,1951,2010-12-01,2010-12-05,VT,Vermont                       
Fire Management,Fire,HURD FIRE,2853,2010-08-26,2010-09-03,ID,Idaho                         
Fire Management,Fire,POST FIRE,2852,2010-08-24,2010-08-29,CA,California                    
Fire Management,Fire,MIDWEST CITY FIRE COMPLEX,2869,2011-03-11,2011-03-14,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,1941,2010-09-22,2010-10-14,MN,Minnesota                     
