declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4331,2017-07-28,2017-07-29,WV,West Virginia                 
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,4306,2017-02-06,2017-02-07,WY,Wyoming                       
Emergency,Hurricane,HURRICANE IRMA,3386,2017-09-06,2017-09-13,SC,South Carolina                
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",4315,2017-04-28,2017-05-02,OK,Oklahoma                      
Major Disaster,Hurricane,TROPICAL STORM HARVEY,4345,2017-08-28,2017-09-10,LA,Louisiana                     
Major Disaster,Flood,"FLOODING, LANDSLIDES, AND MUDSLIDES",4333,2017-05-06,2017-06-16,ID,Idaho                         
Major Disaster,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES,  MUDSLIDES",4309,2017-01-30,2017-02-22,WA,Washington                    
Major Disaster,Hurricane,HURRICANE NATE,4350,2017-10-06,2017-10-10,MS,Mississippi                   
Major Disaster,Hurricane,HURRICANE IRMA,4335,2017-09-05,2017-09-07,VI,Virgin Islands of the U.S.    
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4314,2017-04-30,2017-04-30,MS,Mississippi                   
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUD",4343,2017-07-19,2017-07-23,WI,Wisconsin                     
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4329,2017-07-01,2017-07-02,NH,New Hampshire                 
Major Disaster,Severe Ice Storm,SEVERE WINTER STORM,4304,2017-01-13,2017-01-16,KS,Kansas                        
Emergency,Hurricane,HURRICANE IRMA,3387,2017-09-07,2017-09-20,GA,Georgia                       
Major Disaster,Severe Storm(s),SEVERE WINTER STORM ,4316,2017-03-14,2017-03-15,NH,New Hampshire                 
